STATIONID,HUC8,season,DRNAREA,US_L3NAME,Richness,richEPT,SHANdivers,DEV,has_aml,unconventional_density,conventional_density,IBI,Small,CG,FC,PR,SC,SH
19940803-0126-WQN,2040106,fall,91.7982091734,North Central Appalachians,20,10,2.65,6.92650707874,0,0.0,0.0,56.445,0,0.4,0.12,0.12,0.36,0.0
19991017-1911-josecocco,2050201,spring,1.92452071049,Central Appalachians,12,5,1.14,7.30738362761,0,0.0,0.0,28.4448,1,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.25,0.16666666666666666
19991110-0865-WQN22,5010003,spring,8.61134205795,Erie Drift Plain,26,16,2.56,2.96173731341,0,0.0,1.3935110136429416,78.4573,1,0.2,0.12,0.2,0.28,0.2
19991110-0862-WQN22,5010001,spring,9.52394483628,North Central Appalachians,26,15,2.36,1.47256177908,0,0.0,1.1549835902132901,73.608,1,0.2,0.16,0.2,0.2,0.24
19991115-0875-WQN22,5010006,spring,7.40894136766,Western Allegheny Plateau,18,13,2.19,4.72606737825,0,0.0,0.0,61.044,1,0.35294117647058826,0.17647058823529413,0.11764705882352941,0.23529411764705882,0.11764705882352941
19991116-0871-WQN22,5010003,spring,10.8559726539,North Central Appalachians,28,18,2.49,0.819161915196,0,0.0,0.0,88.7836,1,0.18518518518518517,0.2222222222222222,0.25925925925925924,0.18518518518518517,0.14814814814814814
19991117-0873-WQN22,5010003,spring,19.2534318825,North Central Appalachians,29,18,2.9,1.92173088147,0,0.0,5.038062855078118,80.0505,1,0.2857142857142857,0.17857142857142858,0.2857142857142857,0.14285714285714285,0.10714285714285714
19991203-0446-WQN22,2050206,spring,22.0917910186,North Central Appalachians,25,20,2.59,2.39757812623,0,0.0,0.0,87.8073,1,0.20833333333333334,0.25,0.20833333333333334,0.16666666666666666,0.16666666666666666
19991203-0409-WQN22,2050206,spring,172.878838193,North Central Appalachians,34,28,2.81,2.05474296448,1,0.0,0.0,99.7086,0,0.23529411764705882,0.17647058823529413,0.23529411764705882,0.20588235294117646,0.14705882352941177
20000406-0189-WQN22,2040103,spring,10.3143729852,Northern Allegheny Plateau,37,24,2.81,3.64936450592,0,0.0,0.0,91.0191,1,0.2777777777777778,0.1111111111111111,0.25,0.2222222222222222,0.1388888888888889
20000406-0340-WQN22,2050106,spring,8.94585495753,Northern Allegheny Plateau,37,27,2.97,2.90321745211,0,0.0,0.0,99.0138,1,0.17142857142857143,0.14285714285714285,0.3142857142857143,0.17142857142857143,0.2
20000412-1230-DSB,5010003,spring,41.2220056943,North Central Appalachians,35,20,3.09,2.46875764022,0,0.0,4.973071944152065,89.6934,0,0.2647058823529412,0.11764705882352941,0.23529411764705882,0.29411764705882354,0.08823529411764706
20000412-1030-DSB,5010003,spring,19.2534318825,North Central Appalachians,22,15,2.35,1.92173088147,0,0.0,5.038062855078118,67.5751,1,0.2857142857142857,0.09523809523809523,0.23809523809523808,0.3333333333333333,0.047619047619047616
20000412-0875-WQN22,5010006,spring,7.40894136766,Western Allegheny Plateau,27,17,2.73,4.72606737825,0,0.0,0.0,72.2268,1,0.2692307692307692,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.11538461538461539
20000413-0871-WQN22,5010003,spring,10.8559726539,North Central Appalachians,33,18,2.93,0.819161915196,0,0.0,0.0,88.0898,1,0.1875,0.1875,0.28125,0.15625,0.1875
20000413-0900-JPH,5010003,spring,0.87599672629,North Central Appalachians,26,18,2.46,0.0,0,0.0,0.0,91.9406,1,0.24,0.16,0.2,0.12,0.28
20000413-1400-JPH,5010003,spring,4.04832816631,North Central Appalachians,25,17,2.09,0.540818954417,0,0.0,0.0,78.212,1,0.25,0.16666666666666666,0.20833333333333334,0.25,0.125
20000413-1400-DSB,2050203,spring,19.2298773553,North Central Appalachians,34,23,2.89,0.399395184366,0,0.0,0.0,97.4441,1,0.30303030303030304,0.09090909090909091,0.24242424242424243,0.2727272727272727,0.09090909090909091
20000418-0873-WQN22,5010003,spring,19.2534318825,North Central Appalachians,32,19,2.76,1.92173088147,0,0.0,5.038062855078118,84.1395,1,0.25806451612903225,0.1935483870967742,0.2903225806451613,0.1935483870967742,0.06451612903225806
20000419-0190-WQN22,2040106,spring,7.42442557321,North Central Appalachians,32,17,2.69,1.26590836987,0,0.0,0.0,77.1075,1,0.18181818181818182,0.12121212121212122,0.2727272727272727,0.18181818181818182,0.21212121212121213
20000518-0869-WQN22,5010004,spring,598.26155105,Erie Drift Plain,26,14,2.14,6.04108473851,0,0.0016715097238739725,1.5595185723744165,61.981,0,0.36,0.12,0.16,0.32,0.04
20000706-0871-WQN22,5010003,fall,10.8559726539,North Central Appalachians,28,18,2.61,0.819161915196,0,0.0,0.0,82.0238,1,0.18518518518518517,0.2222222222222222,0.2222222222222222,0.25925925925925924,0.1111111111111111
20000711-0873-WQN22,5010003,fall,19.2534318825,North Central Appalachians,28,17,2.73,1.92173088147,0,0.0,5.038062855078118,75.6965,1,0.2962962962962963,0.14814814814814814,0.25925925925925924,0.25925925925925924,0.037037037037037035
20000801-0875-WQN22,5010006,fall,7.40894136766,Western Allegheny Plateau,18,11,2.21,4.72606737825,0,0.0,0.0,55.0108,1,0.35294117647058826,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.058823529411764705
20000822-0869-WQN22,5010004,fall,598.26155105,Erie Drift Plain,22,10,2.66,6.04108473851,0,0.0016715097238739725,1.5595185723744165,56.666,0,0.2857142857142857,0.2857142857142857,0.19047619047619047,0.23809523809523808,0.0
20000919-0409-WQN22,2050206,fall,172.878838193,North Central Appalachians,28,18,2.62,2.05474296448,1,0.0,0.0,91.2525,0,0.3333333333333333,0.16666666666666666,0.3,0.16666666666666666,0.03333333333333333
20001026-1400-ALF,5010008,spring,1.10049839986,Central Appalachians,24,11,2.48,17.1964912281,0,0.0,0.0,48.7075,1,0.12,0.2,0.32,0.2,0.16
20001026-1100-ALF,5010007,spring,1.0296417485,Central Appalachians,41,24,2.99,5.61410088131,0,0.0,0.9712115903000411,82.8278,1,0.1,0.15,0.25,0.225,0.25
20001107-0730-WQN,5020006,spring,2.64270210485,Central Appalachians,21,15,2.33,6.87911863119,0,0.0,0.0,75.5226,1,0.23809523809523808,0.23809523809523808,0.14285714285714285,0.19047619047619047,0.19047619047619047
20001107-0871-WQN22,5010003,spring,10.8559726539,North Central Appalachians,24,20,2.69,0.819161915196,0,0.0,0.0,84.0288,1,0.13043478260869565,0.21739130434782608,0.21739130434782608,0.17391304347826086,0.2608695652173913
20001108-0869-WQN22,5010004,spring,598.26155105,Erie Drift Plain,26,15,2.67,6.04108473851,0,0.0016715097238739725,1.5595185723744165,73.7808,0,0.28,0.28,0.04,0.28,0.12
20001113-0873-WQN22,5010003,spring,19.2534318825,North Central Appalachians,27,20,2.54,1.92173088147,0,0.0,5.038062855078118,86.5718,1,0.2692307692307692,0.15384615384615385,0.2692307692307692,0.15384615384615385,0.15384615384615385
20001116-0875-WQN22,5010006,spring,7.40894136766,Western Allegheny Plateau,22,15,2.42,4.72606737825,0,0.0,0.0,68.9493,1,0.19047619047619047,0.23809523809523808,0.14285714285714285,0.23809523809523808,0.19047619047619047
20001120-0409-WQN22,2050206,spring,172.878838193,North Central Appalachians,29,21,2.69,2.05474296448,1,0.0,0.0,97.4183,0,0.26666666666666666,0.2,0.23333333333333334,0.2,0.1
20010321-0730-WQN,5020006,spring,2.64270210485,Central Appalachians,19,12,2.46,6.87911863119,0,0.0,0.0,71.7985,1,0.3157894736842105,0.21052631578947367,0.10526315789473684,0.2631578947368421,0.10526315789473684
20010328-0731-WQN,5020005,spring,18.6485052883,Western Allegheny Plateau,17,6,1.7,6.37689021777,0,0.0,0.05362360063395515,45.9598,1,0.17647058823529413,0.23529411764705882,0.17647058823529413,0.23529411764705882,0.11764705882352941
20010405-0506-WQN,2070002,spring,10.3132531798,Ridge and Valley,20,11,1.98,5.55813483298,0,0.0,0.0,66.0068,1,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.21052631578947367
20010522-0871-WQN,5010003,spring,10.8559726539,North Central Appalachians,31,21,2.93,0.819161915196,0,0.0,0.0,93.9468,1,0.22580645161290322,0.0967741935483871,0.22580645161290322,0.22580645161290322,0.22580645161290322
20010718-0731-WQN,5020005,fall,18.6485052883,Western Allegheny Plateau,18,5,1.68,6.37689021777,0,0.0,0.05362360063395515,30.1091,1,0.2777777777777778,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.05555555555555555
20011022-0803-WQN22,5010006,spring,7666.39910691,Western Allegheny Plateau,19,8,2.56,4.75935314131,1,0.0005217573392956619,3.193676673828746,39.5281,0,0.30434782608695654,0.21739130434782608,0.17391304347826086,0.2608695652173913,0.043478260869565216
20011025-0731-WQN22,5020005,spring,18.6485052883,Western Allegheny Plateau,18,9,1.93,6.37689021777,0,0.0,0.05362360063395515,39.2741,1,0.17647058823529413,0.17647058823529413,0.29411764705882354,0.23529411764705882,0.11764705882352941
20011119-0409-WQN22,2050206,spring,172.878838193,North Central Appalachians,33,24,2.67,2.05474296448,1,0.0,0.0,93.4368,0,0.25,0.1875,0.15625,0.28125,0.125
20011205-1600-DSB23,5010003,spring,226.401867476,North Central Appalachians,24,14,2.49,2.42346769091,0,0.0,6.201362275197808,68.762,0,0.2608695652173913,0.13043478260869565,0.13043478260869565,0.2608695652173913,0.21739130434782608
20011205-1600-DSB22,5010003,spring,226.401867476,North Central Appalachians,25,14,2.36,2.42346769091,0,0.0,6.201362275197808,68.1441,0,0.3333333333333333,0.125,0.16666666666666666,0.20833333333333334,0.16666666666666666
20011206-1330-DSB,5010003,spring,20.3693758739,North Central Appalachians,31,22,2.96,0.608705377877,0,0.0,0.0,91.888,1,0.2,0.13333333333333333,0.26666666666666666,0.2,0.2
20011206-1130-DSB,5010003,spring,9.9801303835,North Central Appalachians,37,19,2.91,1.03768876301,0,0.0,0.0,86.1745,1,0.19444444444444445,0.1111111111111111,0.3055555555555556,0.25,0.1388888888888889
20011206-1100-DSB,5010003,spring,6.20503473219,North Central Appalachians,38,18,2.82,0.21282686348,0,0.0,0.0,83.0201,1,0.13513513513513514,0.10810810810810811,0.3783783783783784,0.24324324324324326,0.13513513513513514
20011206-1031-AAK,5010003,spring,1.67445658286,North Central Appalachians,40,23,3.08,0.0,0,0.0,0.0,91.816,1,0.15384615384615385,0.15384615384615385,0.28205128205128205,0.2564102564102564,0.1282051282051282
20011206-0873-WQN,5010003,spring,19.2534318825,North Central Appalachians,32,22,2.93,1.92173088147,0,0.0,5.090001647398511,92.2016,1,0.22580645161290322,0.0967741935483871,0.2903225806451613,0.22580645161290322,0.16129032258064516
20011207-1300-DSB,2050203,spring,30.144890783,North Central Appalachians,34,24,3.05,0.478689540947,0,0.0,0.0,96.72905,0,0.24242424242424243,0.15151515151515152,0.21212121212121213,0.24242424242424243,0.15151515151515152
20011207-1220-DSB,2050203,spring,35.8982964175,North Central Appalachians,28,22,2.45,0.136177206775,0,0.0,0.0,93.0698,0,0.2222222222222222,0.1111111111111111,0.18518518518518517,0.37037037037037035,0.1111111111111111
20011207-1000-DSB23,2050203,spring,49.215717159,North Central Appalachians,28,20,2.8,0.383270422586,0,0.0,0.0,93.2953,0,0.25925925925925924,0.07407407407407407,0.2222222222222222,0.25925925925925924,0.18518518518518517
20011207-1000-DSB22,2050203,spring,49.215717159,North Central Appalachians,23,16,2.53,0.383270422586,0,0.0,0.0,87.00655,0,0.2727272727272727,0.045454545454545456,0.22727272727272727,0.2727272727272727,0.18181818181818182
20011220-1200-DSB23,2050206,spring,19.809897933,North Central Appalachians,32,23,2.88,2.39676896208,0,0.0,0.0,99.495,1,0.1935483870967742,0.12903225806451613,0.3548387096774194,0.12903225806451613,0.1935483870967742
20011220-1200-DSB22,2050206,spring,19.809897933,North Central Appalachians,25,22,2.6,2.39676896208,0,0.0,0.0,91.813,1,0.25,0.16666666666666666,0.25,0.08333333333333333,0.25
20011220-1200-DSB21,2050206,spring,19.809897933,North Central Appalachians,28,22,2.83,2.39676896208,0,0.0,0.0,96.4226,1,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.14814814814814814,0.18518518518518517
20020319-0446-WQN,2050206,spring,22.0917910186,North Central Appalachians,25,18,2.47,2.39757812623,0,0.0,0.0,82.4215,1,0.3333333333333333,0.125,0.3333333333333333,0.125,0.08333333333333333
20020319-0409-WQN,2050206,spring,172.878838193,North Central Appalachians,31,21,2.87,2.05474296448,1,0.0,0.0,98.4308,0,0.41935483870967744,0.12903225806451613,0.16129032258064516,0.22580645161290322,0.06451612903225806
20020325-0871-WQN,5010003,spring,10.8559726539,North Central Appalachians,17,11,2.58,0.819161915196,0,0.0,0.0,69.0875,1,0.11764705882352941,0.29411764705882354,0.29411764705882354,0.17647058823529413,0.11764705882352941
20020327-0873-WQN,5010003,spring,19.2534318825,North Central Appalachians,37,25,2.63,1.92173088147,0,0.0,5.090001647398511,88.5251,1,0.3055555555555556,0.16666666666666666,0.2222222222222222,0.25,0.05555555555555555
20020329-0340-WQN,2050106,spring,8.94585495753,Northern Allegheny Plateau,29,22,2.82,2.90321745211,0,0.0,0.0,97.1501,1,0.2413793103448276,0.13793103448275862,0.2413793103448276,0.27586206896551724,0.10344827586206896
20020329-0336-WQN,2040103,spring,46.5006524576,Northern Allegheny Plateau,28,18,2.57,3.13150823255,0,0.0,0.0,82.161,0,0.3793103448275862,0.13793103448275862,0.1724137931034483,0.27586206896551724,0.034482758620689655
20020425-1300-APF,2040103,spring,5.03931732189,Northern Allegheny Plateau,33,21,2.87,1.95011685376,0,0.0,0.0,95.6925,1,0.25,0.125,0.3125,0.25,0.0625
20020425-1230-APF,2040103,spring,16.206595874,Northern Allegheny Plateau,29,22,2.76,2.35568538127,0,0.0,0.0,90.061,1,0.32142857142857145,0.10714285714285714,0.25,0.2857142857142857,0.03571428571428571
20020425-1207-APF,2040103,spring,13.7671577543,Northern Allegheny Plateau,30,19,2.49,5.5529221699,0,0.0,0.0,91.1136,1,0.3103448275862069,0.06896551724137931,0.3103448275862069,0.27586206896551724,0.034482758620689655
20020425-1205-APF,2040103,spring,3.7740144599,Northern Allegheny Plateau,38,26,2.98,3.88798510288,0,0.0,0.0,95.9538,1,0.21621621621621623,0.13513513513513514,0.2702702702702703,0.24324324324324326,0.13513513513513514
20020425-1203-APF,2040103,spring,5.85747030773,Northern Allegheny Plateau,30,22,2.68,4.46559828074,0,0.0,0.0,94.2246,1,0.27586206896551724,0.1724137931034483,0.2413793103448276,0.2413793103448276,0.06896551724137931
20020425-1200-APF,2040103,spring,4.76183726921,Northern Allegheny Plateau,35,20,3.03,2.00942271669,0,0.0,0.0,88.7646,1,0.23529411764705882,0.14705882352941177,0.23529411764705882,0.2647058823529412,0.11764705882352941
20020425-1400-dbogar,2040104,spring,2.58516727622,North Central Appalachians,35,22,2.69,1.21435719727,0,0.0,0.0,95.0978,1,0.23529411764705882,0.11764705882352941,0.2647058823529412,0.23529411764705882,0.14705882352941177
20020425-0900-dbogar,2040104,spring,2.57497318578,North Central Appalachians,35,22,2.69,1.14718452426,0,0.0,0.0,95.0978,1,0.23529411764705882,0.11764705882352941,0.2647058823529412,0.23529411764705882,0.14705882352941177
20020426-1100-DSB,2040104,spring,10.4098267412,North Central Appalachians,28,19,1.99,3.10586192954,0,0.0,0.0,88.896,1,0.2222222222222222,0.07407407407407407,0.2222222222222222,0.25925925925925924,0.2222222222222222
20020426-0915-DSB,2040104,spring,32.8269019184,North Central Appalachians,30,20,2.56,5.51974403915,0,0.0,0.0,92.50765,0,0.20689655172413793,0.1724137931034483,0.20689655172413793,0.27586206896551724,0.13793103448275862
20020426-1000-DSB,2040104,spring,2.93975944485,North Central Appalachians,30,18,2.49,1.38837808018,0,0.0,0.0,82.1088,1,0.2413793103448276,0.10344827586206896,0.20689655172413793,0.3103448275862069,0.13793103448275862
20020502-0730-WQN,5020006,spring,2.64471003175,Central Appalachians,35,20,2.98,6.89287643632,0,0.0,0.0,85.2793,1,0.3333333333333333,0.1388888888888889,0.19444444444444445,0.2222222222222222,0.1111111111111111
20020508-0876-WQN,5010006,spring,5.53261090288,Western Allegheny Plateau,26,16,2.29,5.37409268565,0,0.0,0.0,78.2573,1,0.23076923076923078,0.19230769230769232,0.23076923076923078,0.23076923076923078,0.11538461538461539
20020515-1400-CAM,2050101,spring,5.07144415237,Northern Allegheny Plateau,40,27,3.03,0.778912263871,0,0.0,0.0,91.7745,1,0.2564102564102564,0.15384615384615385,0.20512820512820512,0.2564102564102564,0.1282051282051282
20020515-1330-DSB,5010006,spring,1.80817679194,Western Allegheny Plateau,28,15,2.18,5.08680889231,0,0.0,0.0,80.3053,1,0.18518518518518517,0.1111111111111111,0.25925925925925924,0.25925925925925924,0.14814814814814814
20020515-1230-DSB,5010006,spring,0.664507963622,Western Allegheny Plateau,31,20,2.23,5.60753094311,0,0.0,0.0,85.971,1,0.16666666666666666,0.23333333333333334,0.26666666666666666,0.2,0.13333333333333333
20020515-0935-CAM,2050101,spring,1.85327791935,Northern Allegheny Plateau,27,13,1.97,3.83164913012,0,0.0,0.0,55.8858,1,0.23076923076923078,0.15384615384615385,0.34615384615384615,0.15384615384615385,0.11538461538461539
20020515-1635-CAM,2050101,spring,1.55324730296,Northern Allegheny Plateau,32,21,2.83,0.0,0,0.0,0.0,98.689,1,0.25806451612903225,0.16129032258064516,0.25806451612903225,0.1935483870967742,0.12903225806451613
